날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.05.17,수,18:30,잠실야구장,LG,7,KT,3,True,페넌트레이스
2023.05.17,수,18:30,한화생명 이글스 파크,한화,2,롯데,1,True,페넌트레이스
2023.05.17,수,18:30,고척 스카이돔,키움,6,두산,9,False,페넌트레이스
2023.05.17,수,18:30,창원NC파크,NC,0,SSG,4,False,페넌트레이스
2023.05.18,목,18:30,대구 삼성 라이온즈 파크,-,삼성  -,경기취소,KIA,True,페넌트레이스
2023.05.18,목,18:30,잠실야구장,LG,9,KT,5,True,페넌트레이스
2023.05.18,목,18:30,한화생명 이글스 파크,한화,3,롯데,7,False,페넌트레이스
2023.05.18,목,18:30,고척 스카이돔,키움,7,두산,3,True,페넌트레이스
2023.05.18,목,18:30,창원NC파크,-,NC  -,경기취소,SSG,False,페넌트레이스
2023.05.19,금,18:30,잠실야구장,LG,3,한화,1,True,페넌트레이스
2023.05.19,금,18:30,수원 케이티위즈 파크,KT,6,두산,1,True,페넌트레이스
2023.05.19,금,18:30,사직야구장,롯데,7,SSG,5,True,페넌트레이스
2023.05.19,금,18:30,창원NC파크,NC,4,삼성,5,False,페넌트레이스
2023.05.19,금,18:30,광주-기아 챔피언스필드,KIA,10,키움,1,True,페넌트레이스
2023.05.20,토,17:00,잠실야구장,LG,1,한화,1,False,페넌트레이스
2023.05.20,토,17:00,수원 케이티위즈 파크,KT,0,두산,6,False,페넌트레이스
2023.05.20,토,17:00,사직야구장,롯데,0,SSG,5,False,페넌트레이스
2023.05.20,토,17:00,창원NC파크,NC,14,삼성,3,False,페넌트레이스
2023.05.20,토,17:00,광주-기아 챔피언스필드,KIA,3,키움,2,True,페넌트레이스
2023.05.21,일,14:00,잠실야구장,LG,4,한화,1,True,페넌트레이스
2023.05.21,일,14:00,수원 케이티위즈 파크,KT,7,두산,3,True,페넌트레이스
2023.05.21,일,14:00,사직야구장,롯데,3,SSG,6,False,페넌트레이스
2023.05.21,일,14:00,창원NC파크,NC,1,삼성,2,False,페넌트레이스
2023.05.21,일,14:00,광주-기아 챔피언스필드,KIA,0,키움,1,False,페넌트레이스
2023.05.23,화,18:30,한화생명 이글스 파크,한화,9,KIA,5,True,페넌트레이스
2023.05.23,화,18:30,인천 SSG 랜더스 필드,SSG,1,LG,9,False,페넌트레이스
2023.05.23,화,18:30,사직야구장,롯데,2,NC,0,True,페넌트레이스
2023.05.23,화,18:30,잠실야구장,두산,7,삼성,5,True,페넌트레이스
2023.05.23,화,18:30,수원 케이티위즈 파크,KT,1,키움,3,False,페넌트레이스
2023.05.24,수,18:30,한화생명 이글스 파크,한화,2,KIA,4,False,페넌트레이스
2023.05.24,수,18:30,인천 SSG 랜더스 필드,SSG,5,LG,3,True,페넌트레이스
2023.05.24,수,18:30,사직야구장,롯데,1,NC,3,False,페넌트레이스
2023.05.24,수,18:30,잠실야구장,두산,1,삼성,6,False,페넌트레이스
2023.05.24,수,18:30,수원 케이티위즈 파크,KT,4,키움,1,True,페넌트레이스
2023.05.25,목,18:30,한화생명 이글스 파크,한화,4,KIA,3,True,페넌트레이스
2023.05.25,목,18:30,인천 SSG 랜더스 필드,SSG,3,LG,8,False,페넌트레이스
2023.05.25,목,18:30,사직야구장,롯데,11,NC,1,True,페넌트레이스
2023.05.25,목,18:30,잠실야구장,두산,4,삼성,3,True,페넌트레이스
2023.05.25,목,18:30,수원 케이티위즈 파크,KT,3,키움,0,True,페넌트레이스
2023.05.26,금,18:30,창원NC파크,NC,11,한화,0,True,페넌트레이스
2023.05.26,금,18:30,대구 삼성 라이온즈 파크,삼성,1,KT,4,False,페넌트레이스
2023.05.26,금,18:30,광주-기아 챔피언스필드,KIA,3,LG,5,False,페넌트레이스
2023.05.26,금,18:30,고척 스카이돔,키움,0,롯데,2,False,페넌트레이스
